,Lyrics,Genre,Region,History
गोव्याचे किनाऱ्यावर  ,"हैय्या हो. . . .
रुपेरी वालू , सोनेरी लाटा
त्याव माझ व्हरक तरतय
कोने देशी नेऊ , कोने गावी नेऊ
सांग तुझे मनान काय घरतय. . .
गोव्याचे किनाऱ्यावर , नाखवा व्हरीन नेशील का ?
निले सागरी दुनियेची सफर देशील का ?
नको बघु अस , मनी होत कस
माझे कालजान भरली रं लाज
तुझे नजरच्या जाल्यामंदी
कालीज गुतल आज
गोव्याचे  किनाऱ्यावर  , नाखवा व्हरीन नेशील का ?
गोव्याचे  किनाऱ्यावर   , नाखवा बेगीन नेशील ना. . .
इच्छा तुझे मनी. . येवो माझे ध्यानी
न सांगता समजल का ?
त्या गोव्याचे बाजारानु
हात हाती देशील का?
एैशे गोवे शहरान जरी नेशील संगान
एक हाैस माझी पुरवाल का ?
माझे एकवीरा माऊलीच दर्शन घरवाल का ?
रुपेरी वालू , सोनेरी लाटा
त्याव माझ , व्हरक तरतय
कोने देशी नेशील , कोने गावी नेशील
सांग तुझे मनान काय चाल्लय. . 
",कोळीगीत,गोवा,"हे गाणं कोळी समुद्रकिनारी गाणं आहे.

गाण्यात गोव्याच्या किनाऱ्याचे वर्णन (रुपेरी वालू, सोनेरी लाटा) आहे.

कोळी समाजाचा निसर्गाशी नाते आणि मासेमारीशी जीवनशैली यावर आधारित आहे.

यात प्रेमभाव आणि धार्मिक श्रद्धा (एकवीरा माऊली दर्शन)ही दाखवली आहे."
अगं पोरी संबाल दर्याल,"अगं पोरी संबाल दर्याला तुफान आयलंय भारी
लाट पिर्तीची भन्‍नाट होऊन आभाली घेई भरारी
नाय भिनार ग येऊ दे पान्याला भरती
माज्या होरीचं सुकान तुज्याच हाती
नाव हाकीन मी कापीत पाऊसधारा
मनी ठसला रं तुजा ह्यो मर्दानी तोरा
जाल्यांत गावली सोनेरी मासली-
नको करू शिर्जोरी
तुज्या डोल्यांत ग घुमतोय वादलवारा
तुज्या भवती रं फिरतोय मनाचा भौरा
तुला बगून ग उदान आयलंय मनाला
तुज्या पिर्तीचं काहूर जाली जिवाला
सुटणार नाय ग, तुटणार नाय गतुजी नि माजी जोरी
मी आणिन तुला जर्तारी अंजिरी सारी
मला पावली रं पिर्तीचि दौलत न्यारी
मी झुंजार ! साजिरी तू माझी नौरी
तुज्या संगतीनं चाखीन सर्गाची गोरी
थाटातमाटात गुल्लाबी",कोळीगीत,कोकण किनारा,हे गाणं कोळी समाजाच्या जीवनशैलीवर आधारित आहे. समुद्राच्या तुफानाशी झुंज देणाऱ्या कोळ्याच्या शौर्यासोबत त्याच्या प्रेयसीचं नातं आणि तिचं त्याच्यावरील प्रेमभाव असं सुंदर दर्शन यात दिसतं.
"बिलनशी नागीण निघाली
नागोबा डुलाय लागला","बिलनशी नागीण निघाली
नागोबा डुलाय लागला
बिलनशी नागीण निघाली
नागोबा डुलाय लागला
काले-नीले नागाला दादा नागीण कचकन डसली
नागिणीचे विखाची दादा नशाही पटकन चरली
नागोबा घुमाया लागला
केतकीचे बनी ह्यो दादा रंगलाय कैसा खेलं रं
नागं-नागिणीचा ह्यो दादा परलाय आज पिलं रं
केतकीचे बनी ह्यो दादा रंगलाय कैसा खेलं रं
नागं-नागिणीचा ह्यो दादा परलाय आज पिलं रं
गारुडी बघाया लागला
बिलनशी नागीण निघाली
नागोबा डुलाय लागला
लागू नको तू त्याचे नादा
अरे माझ्ये गावच्ये गारुड्या दादा
ऐकून घे फिर मंगारी जरा
लागू नको तू त्याचे नाद",कोळीगीत,"मुंबई, ठाणे, रायगड","बिलनशी नागिन निघाली"" हे गाणे कोळी समाजाच्या पारंपरिक उत्सवांचे प्रतीक आहे, ज्यात नागिन-नागोबाच्या कथानकाचे, केतकीच्या बाण्याचा, आणि गारुडी व मदारींच्या उपस्थितीचे वर्णन आहे. या गाण्यामुळे कोळी समाजाच्या सांस्कृतिक वारशाची ओळख होते आणि ते त्यांच्या उत्सवांमध्ये एक महत्त्वपूर्ण स्थान राखते"
नाचे दर्यात तारू थय थय थय,"नाचे दर्यात तारू थय थय थय
चारी बाजूला तूफान भरलंय
धर जोमानं सावरून शिडाचा दोर
अन् तूफान धरलंय मस्तीला जोर
त्यानं होडीला आपल्या घेरलंय रं
चारी बाजूला तूफान भरलंय
एकीच्या पाठीवर दुसरी,
दुसरीच्यासंगं तिसरीनं आली फेसाळ लाटांची उसळी
थैमान झालंय सुरू,
हे आपल्या तारूला बघतंय धरू
त्याच्या मनातलं इंगित हेरलंय रं
चारी बाजूला तूफान भरलंय
नभात ढग गड्या जमल्यात बघ, ढगात बिजली लपली
वादळी वारं सुटलंय सारं होडी सांभाळून आपली
एका दिलाचं जवान आपण, घेऊया तारूला आपल्या जपून
हाती एकीचं सुकाणु धरलंय रं
चारी बाजूला तूफान भरलंय
तुफानी सुटलंय वारा रं, चारी बाजुंनी तरारं
त्यानं टाकलाय होडीला घेरा
इथं कसलेला नावाडी सारा
एका दमात गाठू किनारा
आज जिवाचं भान आम्हा नुरलंय रं
चारी बाजूला तूफान भरलंय",कोळीगीत,कोकणातील किनारपट्टी,"कोकणातील मच्छिमार आणि शेतकरी समुदायातील लोकगीते.

नाव चालवण्याच्या साहसाला आणि तूफानाशी सामना करण्याला लोकगीतांच्या स्वरूपात साजरे केले जाते.

गाण्याचा उद्देश भय, साहस, आणि सहकार्य यावर आधारित अनुभव सामायिक करणे."
काठी न् घोंगघों डी घेऊन द्या की,"काठी न् घोंगघों डी घेऊन द्या की
काठी न् घोंगघों डी घेऊन द्या की रं
मला बी जत्रंला येऊन द्या की
दिसं आलाय माथ्यावर, बघ दुपार झाली भर
त्या गोटमाळावर कुणबी सोडुनी नांगर
टाकी वैरण बैला म्होरं, घेतो विसावा घटकाभर
त्याची अस्तुरी सुंदर, आली घेउनी भाकर
पाय भाजत्याती चरचर अन् कशी चालतीया झरझर
कांदा न् भाकरी खाऊन द्या की रं
मला बी जत्रंला येऊन द्या की
पळपळून म्या चौखुर, वळती करून आणल्यात गुरं
हणम्या बैल हाय ह्यो माजूर, देतो झुकांडी जातो दूर
गाय कपिली लई चातूर, दूधदूध दियाला भरपूर
गुरं पाण्यावर नेऊन द्या की रं
मला बी जत्रंला येऊन द्या की
मी लोकाचा हाय चाकूर, जीव जमून होतोय चूर
धनी माझा लय् मगरूर, मालकीण करी कुरकूर
पायामंदी नाही खेटूर, चिंधी फाटतीया टुरटूर
अरं दुपार टळून जाऊन द्या की रं
मला बी जत्रंला येऊन द्या की
सदू सोनाराचा शिरीधर, मधु बामनाचा मुरलीधर
चोखू चांभाराचा चंदर, वरल्या आळीचा जालंधर
घराशेजारी आपली घरं, बाळपणातलं मैतर
अरं तुमच्यात सामील होऊन द्या की रं
मला बी जत्रंला येऊन द्या की",लावणी,पश्चिम महाराष्ट्र,"अशा प्रकारचे गाणी ग्रामीण जत्रा, सण, शेतकरी जीवन आणि लोकनाट्य परंपरेशी निगडीत आहेत.

लोकांनी आपले दैनंदिन जीवन आणि जत्रा अनुभव गाण्यातून व्यक्त केला आहे.

अशा गीतांत हास्य, विनोद आणि समाजजागृती यांचा संगम असतो."
इंग्लिश शिकवून सोडा,"इंग्लिश शिकवून सोडा, नाचू आम्ही आपल्या ठिकाणी
गावात गजर, रंगीबेरंगी नृत्य, मजा सारी
", लावणी,पश्चिम महाराष्ट्र,विनोदी आणि खट्याळ लावणी. मराठी ग्रामीण जीवनातील साधेपणा आणि परकीय भाषेचं आकर्षण या विरोधाभासावर आधारित. ही लावणी रंगभूमीवर विनोदी रंग आणणारी ठरली.
आली बाई पंचिम रंगाची,"आली बाई पंचिम रंगाची, नाचती गावात उत्साहाची
घुमा पळवा, थिरकवा, साजणांसाठी रंग भरवा
", लावणी,ग्रामीण महाराष्ट्र,"पारंपरिक ग्रामस्थ जीवनावर आधारित श्रुंगारिक लावणी. स्त्रीच्या अलंकार, वेशभूषा आणि मोहक अदांची सरसक्ती दाखवते. ग्रामीण जत्रा आणि वगनाट्यांत ही खूप गाजली."
सवाल-जवाब,"प्रश्न येतो, उत्तर येतं, मनातल्या मनात मजा येते
नाट्य रंगभूमीवर गाजले, हसवा-हसवी सर्व प्रेक्षक
",लावणी,पश्चिम महाराष्ट्र,संवादप्रधान नाट्यलावणी. प्रश्नोत्तराच्या रूपातली ही लावणी रंगभूमीवर प्रचंड लोकप्रिय झाली. यातील विनोदी संवाद आणि चपखल प्रत्युत्तरे प्रेक्षकांना खूप भावली.
या हरीसाठी मी जाहले पहा वेडी।,"या हरीसाठी मी जाहले पहा वेडी।
वाटे घनःश्याम माझ्या डोळ्यापुढे बाई।
प्रपंचात जीव नाही करू तरी काई।
लौकिकाची रीत सारी गेली त्याचे पाई।
गेला बाई सोडून पाह खेडी॥१॥ धनुवाजे घुणघुणा वारा वाजे रुणझुणा
भवतारकु हा कान्हा वेगी भेटवा की
चंदनाची चोळी माझे सर्व अंग पोळी
कान्हा वनमाळी वेगी भेटवा की। तुझी माझी प्रीत येकदा कधी घडल घडल घडल।
भरनवती आगरास भोगायास न्या गरास।
पाणी विषय सागरास चढल चढल चढल।
कुचकंचुकीत तटतटीत। मंद अंतरी धडधडीत।

जसे नवनीत कडकडीत। कढल कढल कढल॥२॥
या गोष्टी अवघडा। जाल्यावर सावघडा।
नावाचा चौघडा। झडल झडल झडल॥३॥
होनाजी बाळा मंथन । करिता होय विरह पतन।
अहेरनी मधी उंच रतन। जडल जडल जडल॥४॥",लावणी,पश्चिम महाराष्ट्र,"ही रचना महाराष्ट्रातील लावणी परंपरेतील भक्तीप्रधान (माधुर्यभावी) लावणी आहे. लावणीचा उगम १७व्या–१८व्या शतकात झाला असून ती तमाशा, लोकनाट्य व लोककरमणूक यांच्याशी निगडित आहे. प्रारंभी लावणीमध्ये शृंगार, भावनाट्य आणि लयबद्ध ठेका यांना विशेष महत्त्व होते.

या लावणीत कृष्ण/हरीला उद्देशून व्यक्त होणारा प्रेमभाव, विरह, आतुरता व शारीरिक–मानसिक संवेदना दिसून येतात. येथे भक्ती ही शांत भजनरूपात नसून, माधुर्य व शृंगारातून व्यक्त झालेली आहे—हेच लावणीचे वैशिष्ट्य आहे.

होनाजी बाळा यांच्या काव्यपरंपरेप्रमाणेच या रचनेत लोकभाषा, नाट्यमयता आणि भक्ती–शृंगार यांचा संगम आढळतो. अशा लावण्या तमाशा मंडळीत, लोकनृत्यांत व रंगभूमीवर सादर केल्या जात आणि त्या समाजातील भावविश्व, प्रेमभावना व भक्तीची वेगळी अभिव्यक्ती दर्शवतात."
कारटा तुझा हा द्वाड यशोदेबाई।,"कारटा तुझा हा द्वाड यशोदेबाई।
का पडला अमुचे ठायी? ॥धृ॥
बैसुनियां यमुनेकाठी डोळे मोडी।
भलतीची घागर फोडी।
गरतीला गल्लीत गाठुनि खोडी काढी।
माजोरी ढंग ना सोडी।
रांडेच्याला काय शिकवल्या खोडी।
या वयात भलतीच गोडी।
कुंजामध्ये बैसुनि नाजुक मुलगी ओढी।
चुचकारून लुगडे फेडी।
गेली उलथून याची मस्ती

ही नित्य काय गे कुस्ती
सोसावी कुठवर तस्ती
कशी टिकल अशाने वस्ती।
कर याची बंदोबस्ती, ठायिंचा ठायी
कारटा तुजा हा द्वाड यशोदेबाई॥",भक्तीगीत,पश्चिम महाराष्ट्र,"हे गीत बालकृष्णाच्या लीलांचे लोकभाषेतील विनोदी व उपरोधिक वर्णन करणारे भक्तिगीत आहे. यशोदा–कृष्ण संवादाच्या माध्यमातून कृष्णाच्या खोडकर, चपळ आणि लोभस स्वभावाचे चित्रण केले आहे. माठ फोडणे, खोड्या काढणे, यमुनेच्या काठी खेळणे अशा प्रसंगांतून भागवत परंपरेतील बाललीला लोकपरंपरेत उतरलेली दिसते.

अशा रचना भारुड व कीर्तन परंपरेत भक्तीला विनोद, लाघवी भाषा व नाट्यरूप देतात. देवाला घरच्या मुलासारखे मानण्याची वारकरी परंपरेतील सख्यभाव व वात्सल्यभावाची भक्ती या गीतातून स्पष्ट होते."
अप्सरा आली इंद्रपुरीतून,"कोमल काया की मोहमाया पुनवचांदनं न्हाली
सोन्यात सजले रूप्यात भिजले रत्‍नप्रभा तनू ल्याली
ही नटली थटली जशी उमटली चांदणी रंगमहाली
मी यौवन बिजली पाहून थिजली इंद्रसभा भवताली

अप्सरा आली इंद्रपुरीतून खाली पसरली लाली
रत्‍नप्रभा तनू ल्याली ती हसली गाली चांदणी रंगमहाली
अप्सरा आली पुनवचांदनं न्हाली

छबिदार सुरत देखणी जणु हिरकणी नार गुलजार
सांगते उमर कंचुकी बापुडी मुकी सोसते भार
शेलटी खुणावे कटी तशी हनुवटी, नयन तलवार

ही रती मदभरली दाजी ठिनगी शिनगाराची
कस्तुरी दरवळली दाजी झुळुक ही वार्‍याची
ही नटली थटली जशी उमटली चांदणी रंगमहाली
मी यौवन बिजली पाहून थिजली इंद्रसभा भवताली

अप्सरा आली इंद्रपुरीतून खाली पसरली लाली
रत्‍नप्रभा तनू ल्याली ती हसली गाली चांदणी रंगमहाली
अप्सरा आली पुनवचांदनं न्हाली
",लावणी,महाराष्ट्र,चित्रपट नटरंग मधील ही लावणी महाराष्ट्रभर गाजली. स्त्री-पुरुष नृत्यांगनांच्या द्वंद्वातून साकारलेली ही लावणी ग्रामीण ते शहरी सर्व प्रेक्षकांना भावली.
अता वाजले की बारा,"चैत पुनवेची रात आज आलिया भरात धडधड काळजात माझ्या माईना  
कदी कवा कुठं कसा, जीव झाला येडापीसा त्याचा न्हाई भरवसा तोल र्हाईना  
राखली की मर्जी तुमच्या जोडीनं मी आले पिरतीच्या या रंगी राया  
चिंब ओली मी झाले राया, सोडा आता तरी काळयेळ न्हाई बरी  
पुन्हा भेटू कवातरी साजणा, मला जाऊ द्या ना घरी, आता वाजले की बारा  

कशा पाई छळता, मागं मागं फिरता, असं काय करता दाजी  
हिला भेटा की येत्या बाजारी सहाची बि गाडी गेली, नवाची बि गेली  
आता बाराची गाडी निघाली, हिला जाऊ द्या ना घरी, आता वाजले की बारा  

ऐन्यावानी रूप माझं, उभी ज्वानीच्या मी उंबर्‍यात  
नादावलं खुळंपीसं कबुतर, हे माज्या उरात भवताली भय घाली  
रात मोकाट ही चांदण्याची, उगा घाई कशापायी, हाये नजर उभ्या गावाची  
हे नारी गं, राणी गं, हाये नजर उभ्या गावाची  

शेत आलं राखणीला, राघु झालं गोळा शीळ घाली  
आडुन कोणी करून तिरपा डोळा, आता कसं किती झाकू, सांग कुठंवर राखू  
राया भान माझं मला र्हाईना, मला जाऊ द्या ना घरी, आता वाजले की बारा  

(पुनरावृत्ती) कशा पाई छळता, मागं मागं फिरता, असं काय करता दाजी  
हिला भेटा की येत्या बाजारी सहाची बि गाडी गेली, नवाची बि गेली  
आता बाराची गाडी निघाली, हिला जाऊ द्या ना घरी, आता वाजले की बारा  

अला पाड झाला भार, भरली उभारी घाटा‑घाटात  
तंग चोळी अंग जाळी, टच्च डाळींब फुटं व्हटात  
गार वारा झोबणारा, द्वाड पदर जागी थरना  
आडोश्याच्या खोडीचं मी कसं गुपित राखू कळंना  
हे नारी गं, राणी गं, कसं गुपित राखू कळंना  

मोरावानी डौल माझा, मैनेवानी तोरा  
औंदाच्या गा वर्साला मी गाठलं वय सोळा  
जीवा लागलिया गोडी, तरी कळ काढा थोडी घडी आताची ही  
तुझी र्हाऊ द्या, मला जाऊ द्या ना घरी, आता वाजले की बारा  

(पुनरावृत्ती) कशा पाई छळता, मागं मागं फिरता, असं काय करता दाजी  
हिला भेटा की येत्या बाजारी सहाची बि गाडी गेली, नवाची बि गेली  
आता बाराची गाडी निघाली, हिला जाऊ द्या ना घरी, आता वाजले की बारा  
",लावणी,महाराष्ट्र,"लग्नसमारंभ, मेळावे आणि नृत्यसंधीमध्ये कायम वाजणारी लावणी. हिच्या ठेक्यामुळे लोकांना नाचायची अनिवार इच्छा होते. ही लावणी आजच्या पिढीपर्यंत पोहोचलेली सर्वात लोकप्रिय गाणींपैकी एक आहे."
मदनमंजिरी,"हं कानीअस्सल कीरत
माझी देखणी सुरत
न्हाई हटत कुणाच्या नजरा..
माझी पाटी हाय कोरी
माझं रूप लय भारी
नटे सावरे माळून हो गजरा
दिलवरा, राजसा
तुम्ही जरा बघा तरी
अशी मी मदन मंजिरी
सुबक ठेंगणी लखलखते सुंदरी
अशी मी मदन मंजिरी
चटक चांदणी चमचमते अंबरी…
अशी मी मदन मंजिरी
सुबक ठेंगणी लखलखते सुंदरी
अशी मी मदन मंजिरी
चटक चांदणी चमचमते अंबरी
भरवसा… हो भरवसा
दिलाचा कसा धरावा बाई
जीव हा जाई.. पेटूनी
कसाबसा अहो राजसा…
ठेवला हाय धीर गं बाई राखुनी
नाद हाय लय खुळा
माझ्या घुंगराचा चाळा
सोना नाणं उधळते मोहरा…
माझ्या नजरेचा बाण..
काळजात धुमशान …
खोल जाऊन रुतलाया
ह्यो गहिरा.. ह्यो दिलवरा
तुम्ही… अंह तुम्ही नाही
तुम्ही जरा.. तुम्ही जरा
बघा तरी ..
अशी मी मदन मंजिरी
सुबक ठेंगणी लखलखते सुंदरी
अशी मी मदन मंजिरी
चटक चांदणी चमचमते अंबरी
अशी मी मदन मंजिरी
सुबक ठेंगणी भिरभिरते भिंगरी..
अशी मी मदन मंजिरी
चटक चांदणी लुकलुकते अंबरी…
माझं रूप बघून
सारंखूळ फिरती मागं पुढं
नाव मी सांगू कुणाचा आज
माझी अदा बघून येडं पिसं
कळना रात दिसं
लागलं भल्याभल्यांना नाद
तरी कसा एक पावणा
साधी नजर घेईना बाई
आला शिन कळना मला
कोणती युगत करू मी बाई
तुम्हा हाय काय खावं..
मी बी देत नाही भाव
तरी राव अदबीन मुजरा
माझी बात लय भारी
अशी हाय अदाकारी
शोभ त्यावर नाजूक ह्यो नखरा
दिलबरा.. ओ फेटेवालं..
तुम्ही.. तुम्हीच की
तुम्ही जरा.. तुम्ही जरा
बघा तरी..
अशी मी मदन मंजिरी
सुबक ठेंगणी भिरभिरते भिंगरी
अशी मी मदन मंजिरी
चटक चांदणी चमचमते अंबरी
",लावणी,महाराष्ट्र,"१९७२ मध्ये व्ही. शांताराम दिग्दर्शित पिंजरा चित्रपटातील लावणी. स्त्रीच्या रूप, अदा आणि नृत्याचा अभिमान व्यक्त करणारे गाणं. उषा मंगेशकर यांच्या आवाजात, संध्या यांच्या अभिनयातून हे गाणं लोकप्रिय झालं. यामुळे मराठी चित्रपटसृष्टीत लावणीचं नवं सुवर्णयुग आलं."
उगवली शुक्राची चांदणी,"अडवू नका मज सोडा आता  
पुरं झालं ना धनी  
उगवली शुक्राची चांदणी  

निरव शांतता अवतीभवती  
रातकिडं हे किरकिर करती  
भिरभिर उडती वर पाकोळ्या  
धडधड होते मनी  
उगवली शुक्राची चांदणी  

लवलव करिती हिरवी पाती  
चमचमणाऱ्या चांदणराती  
वार्यावरती गंध दरवळे  
केतकीच्या या बनी  
उगवली शुक्राची चांदणी
",लावणी,महाराष्ट्र,"ही पारंपरिक श्रुंगारिक लावणी आहे जी रात्रीच्या निसर्गसौंदर्याचं चित्रण करते. चांदण्यांनी भरलेल्या आकाशात, शांततेत आणि प्रेमळ वातावरणात प्रियकराची आतुरता व्यक्त करणारी ही लावणी रंगभूमीवर व चित्रपटांत लोकप्रिय झाली. ""उगवली शुक्राची चांदणी"" ही ओळ मराठी ग्रामीण संस्कृतीत आणि जत्रांमध्ये आजही गाजते."
आईका दाजीबा,"आठशे खिडक्या, नवशे दर  
कुण्या वाटेना बा, गेली किनार  
आठशे खिडक्या, नवशे दर  
कुण्या वाटेना बा, गेली किनार

दाजी दाजी दाजी दाजी  
दाजी दाजी दाजी  
मुझे प्यार नहीं तुझसे है बा  
मुझे दिल बिल नको तेरा देबा  
मुझे प्यार नहीं तुझसे है बा  
मुझे दिल बिल नको तेरा देबा

ऐका दाजीबा, ऐका दाजीबा, ऐका दाजीबा  

किती आले, किती गेले  
किती आले बाबा, किती गेले  
किती आले, किती चाले  
सबको लगता है हमीच पहले  
सबको लगता है हमीच पहले  
सब कहते हैं “मेरी महबूबा”  
तेरी आँखों में मेरा दिल डूबा  
हो तेरी आँखों में मेरा दिल डूबा

ऐका दाजीबा, ऐका दाजीबा, ऐका दाजीबा  

तुझ्या घरात नाही पाणी  
तुझ्या घरात नाही पाणी  
घागर उठवीन रे, उठवीन रे दाजीबा  
कटकट नको, मचमच नको  
गडबड नको आणि तुझी बडबड नको  
कटकट नको, मचमच नको  
है जो हिम्मत तो कर ले मुझे बायको  
करके बायको तू ले जा मुझे घर को  
फिर मैं बायली, तू मेरा बाबा  
फिर तू बोले, सो होगा रे सायबा  
हो फिर तू बोले, सो होगा रे सायबा  

ऐका दाजीबा, ऐका दाजीबा, ऐका दाजीबा  

मुझे प्यार नहीं तुझसे है बा  
मुझे दिल बिल नको तेरा देबा  
मुझे प्यार नहीं तुझसे है बा  
मुझे दिल बिल नको तेरा देबा

ऐका दाजीबा, ऐका दाजीबा, ऐका दाजीबा
",लावणी,महाराष्ट्र,लोकसंगीतावर आधारित हलकीफुलकी लावणी. विनोदी आणि गमतीदार भाव असलेली ही लावणी गावोगावी कीर्तन-मेळाव्यांत सादर केली जायची.
नाच ग घुमा,"नाच ग घुमा, कशी मी नाचू?
ह्या गावचा, त्या गावचा सोनार नाही आला
जोडवी न्हाई मला, कशी मी नाचू?
नाच ग घुमा!

ह्या गावचा, त्या गावचा शिंपी न्हाई आला
चोळी न्हाई मला, कशी मी नाचू?
नाच ग घुमा!

ह्या गावचा, त्या गावचा कासार न्हाई आला
बांगडी न्हाई मला, कशी मी नाचू?
नाच ग घुमा!

फू बाई फू फुगडी चमचम करतीया बुगडी!
पाट बाई पाट, चांदनाचा पाट
पतीदेव बघतायत माडीवर, वाट बारा
घरच्या बायका एकत्र येऊ या
चला झिम्मा खेळू या ग
चला झिम्मा खेळू या!

लेक बोलते लाडकी, घरी गोकुळ साजणी
वसुदेव देवकीचा कान्हा खेळतो अंगणी
बाळ नवसाचा माझा, त्याची दृष्टि काढू या
चला झिम्मा खेळू या ग
चला झिम्मा खेळू या!

घुमू दे घागर घुमू दे, खेळात जीव ह्यो रमू दे
गडनी घागर फुकतीया, मागं नि म्होरं झुकतीया
नाचून बाई माझी दमू दे, खेळात जीव ह्यो रमू दे
घुमू दे घागर घुमू दे!

पोऱी पिंगा ग, पोऱी पिंगा ग, पोऱी पिंगा ग, पोऱी पिंगा!
तुझ्या पिंग्यानं मला बोलिवली, रात जागवली पोऱी पिंगा!
",लावणी,"महाराष्ट्र  (विदर्भ, मराठवाडा, पश्चिम महाराष्ट्र)",पारंपरिक स्त्री-पुरुषांनी एकत्र गायली जाणारी लावणी. यामध्ये स्त्री-पुरुषांच्या हलक्या फुलक्या टोलामोलांतून नृत्यप्रधानता जाणवते. ही गावकुसातल्या सण-उत्सवांत लोकप्रिय होती.
या रावजी बसा भावजी,"या रावजी, बसा भावजी  
कशी मी राखू तुमची महरजी, हो बसा रावजी  

वळख जुनी धरून मनी  
काय करू सांगा तुमची अहरजी  

तुम्हां बघून डावा डोळा झाकला  
पडदा लाजंचा, लाजंचा फेकला  

गुलहौशी तुम्ही, मी अशी गुलछडी  
तुम्हासाठी नटुन आज राहीन खडी  
अशी रोखा नजर, त्यात भरलं जहर  
घोट घेऊन जीव ह्यो माझा झिंगला  
पडदा लाजंचा, लाजंचा फेकला  

रूप रंगाच्या महाली, सुख माझं रंगलं  
काळजाच्या झुंबराला दु:ख माझं टांगलं  
नको पर्वा आता, माझं जीणं लुटा  
असा जुगार उलटा मी हो मांडला  
पडदा लाजंचा, लाजंचा फेकला  

रोज बुरखा नवा, रोज नवी मजा  
तुम्ही गुन्हा करा, मी हो भोगीन सजा  
तुमची वळख धरीन, बाकी चुकती करीन  
ध्यास तुमचा मनाला पाव्हणं लागलं  
पडदा लाजंचा, लाजंचा फेकला  

पडदा लाजंचा, लाजंचा फेकला  
",लावणी,महाराष्ट्र  ,सणसमारंभात गाण्यात येणारी पारंपरिक लावणी. विनोदी आणि घरगुती प्रसंग रंगवणारी ही लावणी प्रामुख्याने रंगभूमी आणि तमाशांतून प्रसिद्ध झाली.
कुठं कुठं जायाचं हनिमूनला,"अहो भरल्या बाजारी
धनी मला तुम्ही हेरलं
हेरलं ते हेरलं अन्‌
लगीन अपुलं ठरलं
 
लगीन झालं, गोंधळ झाला
आता एक काम हो ठरलं
 
लोणावळा, खंडाळा,
कोल्हापूरचा पन्हाळा
बेंगलोर, गोवा नि काश्मिरला
कुठं कुठं जायाचं हनिमूनला ?",लावणी,पश्चिम महाराष्ट्र,"आधुनिक काळातील हास्यप्रधान लावणी. नववधूच्या खट्याळ स्वभावावर आधारित, विनोदी शैलीत रचलेली ही लावणी तरुण पिढीत खूप गाजली."
गुलजार लावणी,"गुलजार गुलछडी नटून मी खडीखडी
नाचते मी घडीघडी करते नखरा नखरा
बाई माझ्या पायाला बांधलाय भंवरा

सडसडीत बांधा उभा सुरत गोरटी
भिरिभिरी शोधते कुणा नजर चोरटी
चोळी माझी चंदनी तंग, तंग पैठणी
चुणीवर चुणीचुणी उडवी पदरा पदरा

डाळिंब फुटे ओठांत गालांमध्ये लाज
मी तरुणपणाचा जपून घेते अंदाज
छुमछुम बोले चाळ, नागमोडी माझी चाल
भवतीनं सूरताल मारती चकरा चकरा


बेभान नाचते रूपगुणाची राणी
ऊर होतो खालीवर बाई पारव्यावाणी
अडवुनी जागोजाग बळजोरी नगं नगं
जाते बाई लगबग सख्याच्या नगरा नगरा", लावणी ,पश्चिम महाराष्ट्र,शृंगारिक आणि रंगभूमीवर गाजलेली लावणी. स्त्रीच्या रूपवैभव आणि प्रेमभावना रंगवणारी. तिचं सादरीकरण नाट्यप्रयोगांत ठळकपणे दाखवलं गेलं.
"आली आली हो भागाबाई""","तिनं साडी आणा म्हंटली, आणली !
तिनं चोळी आणा म्हंटली, आणली !
तिनं नथ आणा म्हंटली, आणली !
तिनं बुगडी आणा म्हंटली, आणली !
अहो दाजिबाच्या वाड्यात गडबड झाली
माडीवरची मंडळी खाली आली
आली आली हो भागाबाई
आली आली हो भागाबाई !
भागाबाई बोलली हटून
आणि लग्‍नाला बसली नटून
तिथं नवर्‍याचा पत्त्याच नाही
आली आली हो भागाबाई !
भागाबाई पडली ईरेला
ह्यो बापई नवरा ठरिवला
त्याच्या तोंडा तों ला नाकच नाही
आली आली हो भागाबाई !
अशी आमुची भागाबाई शहाणी
तिच्या जल्माची झाली कहाणी
कडं पात्तूर एकलीच र्‍हाई
आली आली हो भागाबाई !
",भारुड,"नाशिक

","भारुड हे संत एकनाथांनी लोकप्रिय केलेलं एक लोकनाट्यप्रकार आहे, ज्यात विनोदी, सामाजिक आणि नैतिक संदेश लोकभाषेतून दिला जातो."
